اسم الملف,الأحاديث المعالجة,توكنز المدخلات,توكنز المخرجات,وقت المعالجة (ثانية),التوكنز في الثانية,متوسط الوقت لكل حديث (ثانية)
2658.json,1,2230,925,86.34,36.54,86.34
2733.json,1,1608,1040,74.88,35.36,74.88
2735.json,1,1463,617,42.34,49.12,42.34
2744.json,1,2913,815,41.17,90.56,41.17
2752.json,1,2064,821,72.75,39.66,72.75
2756.json,1,2582,766,47.25,70.85,47.25
2758.json,1,1987,662,72.41,36.58,72.41
2763.json,1,1566,574,49.70,43.06,49.70
2766.json,1,2361,735,56.03,55.26,56.03
2768.json,1,1982,647,56.90,46.20,56.90
2769.json,1,8797,826,40.16,239.62,40.16
2770.json,1,10974,779,46.41,253.23,46.41
2771.json,1,1636,606,52.56,42.66,52.56
2772.json,1,2308,736,53.61,56.78,53.61
2773.json,1,2182,799,55.36,53.85,55.36
2778.json,1,3379,876,52.60,80.89,52.60
2781.json,1,2711,775,43.42,80.28,43.42
2787.json,1,1914,650,43.98,58.30,43.98
2788.json,1,2124,695,63.73,44.23,63.73
2790.json,1,1306,770,96.72,21.46,96.72
2792.json,1,2460,754,65.09,49.38,65.09
2793.json,1,1284,568,55.06,33.64,55.06
2794.json,1,2066,584,62.56,42.36,62.56
2796.json,1,2125,677,44.65,62.75,44.65
2800.json,1,1440,675,55.45,38.14,55.45
2802.json,1,1392,624,65.96,30.56,65.96
2803.json,1,1377,420,36.23,49.60,36.23
2804.json,1,1642,680,62.00,37.45,62.00
2806.json,1,1621,698,59.97,38.67,59.97
2808.json,1,1891,767,77.46,34.31,77.46
2809.json,1,1662,810,75.30,32.83,75.30
2810.json,1,1655,904,85.51,29.93,85.51
2811.json,1,2332,695,61.82,48.96,61.82
2812.json,1,1161,546,54.04,31.59,54.04
2813.json,1,879,657,49.38,31.11,49.38
2816.json,1,1797,637,45.72,53.23,45.72
2817.json,1,1720,720,44.61,54.69,44.61
2818.json,1,1813,615,55.28,43.92,55.28
2819.json,1,1435,667,47.25,44.48,47.25
2820.json,1,1457,829,72.60,31.49,72.60
2821.json,1,1436,703,46.25,46.25,46.25
2822.json,1,1405,747,85.15,25.27,85.15
2824.json,1,1783,625,49.78,48.37,49.78
2826.json,1,1388,613,55.25,36.22,55.25
2827.json,1,1352,572,74.17,25.94,74.17
2828.json,1,1361,538,66.96,28.36,66.96
2829.json,1,1736,724,48.15,51.09,48.15
2834.json,1,1089,791,48.41,38.84,48.41
2835.json,1,2081,782,72.88,39.28,72.88
2841.json,1,2131,776,70.41,41.29,70.41
2843.json,1,1558,613,46.47,46.72,46.47
2846.json,1,2081,768,57.98,49.14,57.98
2848.json,1,1947,854,43.80,63.95,43.80
2849.json,1,2480,768,58.34,55.67,58.34
2850.json,1,2237,799,47.14,64.40,47.14
2852.json,1,1624,517,52.20,41.01,52.20
2856.json,1,2250,790,64.98,46.79,64.98
2857.json,1,1358,560,49.44,38.80,49.44
2860.json,1,1577,679,38.09,59.24,38.09
2861.json,1,1767,848,72.16,36.24,72.16
2862.json,1,1537,649,59.81,36.55,59.81
2866.json,1,1470,648,50.42,42.00,50.42
2869.json,1,1233,666,56.86,33.40,56.86
2870.json,1,1621,899,75.06,33.57,75.06
2871.json,1,1730,582,54.85,42.15,54.85
2874.json,1,2784,659,61.33,56.14,61.33
2875.json,1,2610,736,77.14,43.37,77.14
2876.json,1,1996,918,79.60,36.61,79.60
2877.json,1,1396,621,53.02,38.04,53.02
2879.json,1,1399,624,84.41,23.97,84.41
2882.json,1,1678,687,56.39,41.94,56.39
2883.json,1,1665,800,43.91,56.14,43.91
2884.json,1,1748,710,41.11,59.79,41.11
2885.json,1,1146,677,33.42,54.55,33.42
2888.json,1,1932,667,69.25,37.53,69.25
2889.json,1,1345,718,61.82,33.37,61.82
2891.json,1,1569,623,49.30,44.46,49.30
2898.json,1,2218,866,56.06,55.01,56.06
2902.json,1,1573,548,43.98,48.23,43.98
2905.json,1,1602,573,51.51,42.22,51.51
2906.json,1,1578,694,72.93,31.15,72.93
2908.json,1,1482,820,58.43,39.40,58.43
2909.json,1,1708,919,59.68,44.02,59.68
2910.json,1,1214,632,58.19,31.73,58.19
2912.json,1,1609,838,47.53,51.48,47.53
2914.json,1,1162,521,86.81,19.39,86.81
2915.json,1,2506,701,40.95,78.32,40.95
2916.json,1,2415,950,40.87,82.33,40.87
2917.json,1,1486,635,57.81,36.69,57.81
2922.json,1,1672,747,43.38,55.76,43.38
2924.json,1,1088,648,54.75,31.70,54.75
2928.json,1,1677,532,104.71,21.10,104.71
2930.json,1,1057,473,49.73,30.77,49.73
2931.json,1,1242,517,43.97,40.00,43.97
2933.json,1,2799,829,62.01,58.50,62.01
2934.json,1,2138,785,48.83,59.86,48.83
2935.json,1,1628,745,55.98,42.39,55.98
2936.json,1,2201,710,49.88,58.36,49.88
2938.json,1,3143,954,76.63,53.46,76.63
2939.json,1,1772,635,62.71,38.38,62.71
2940.json,1,5908,732,39.20,169.38,39.20
2941.json,1,2051,700,54.41,50.57,54.41
2942.json,1,6687,715,39.05,189.53,39.05
2943.json,1,1877,869,44.98,61.05,44.98
2947.json,1,2976,700,63.55,57.84,63.55
2950.json,1,1433,737,45.08,48.13,45.08
2951.json,1,1410,564,34.03,58.00,34.03
2952.json,1,1661,742,62.66,38.35,62.66
2955.json,1,1714,785,46.02,54.31,46.02
2960.json,1,1477,623,25.05,83.82,25.05
2963.json,1,1460,577,46.71,43.61,46.71
2964.json,1,4739,757,56.11,97.95,56.11
2966.json,1,1200,503,40.41,42.15,40.41
2971.json,1,1737,816,52.55,48.58,52.55
2975.json,1,1441,621,63.90,32.27,63.90
2976.json,1,1805,788,46.91,55.27,46.91
2980.json,1,1755,775,32.57,77.67,32.57
2986.json,1,1752,734,27.69,89.79,27.69
2988.json,1,1446,548,52.41,38.04,52.41
2989.json,1,2375,862,57.37,56.43,57.37
2990.json,1,1490,753,43.96,51.02,43.96
2991.json,1,1618,628,35.74,62.85,35.74
2997.json,1,1858,708,45.22,56.74,45.22
2998.json,1,1554,697,72.11,31.22,72.11

الإجمالي,124,249190,87798,6935.00,48.59,55.93
